variation,iteration,accuracy,precision,recall,F1
no pre-processing,1,0.8372235872235873,0.8378712871287128,0.997789240972734,0.9108644466868484
no pre-processing,2,0.8151105651105651,0.8152709359605911,0.999245283018868,0.897931502204137
no pre-processing,3,0.828518746158574,0.8300370828182941,0.9970304380103935,0.905902192242833
no pre-processing,4,0.8303626306084819,0.8306650246305419,0.9992592592592593,0.9071956960322799
no pre-processing,5,0.8149969268592502,0.8147004323656578,0.9992424242424243,0.8975842123171146
lemmatization,1,0.8409090909090909,0.8635761589403973,0.9609432571849669,0.9096616672479944
lemmatization,2,0.8267813267813268,0.8428665351742275,0.9675471698113207,0.9009135628952916
lemmatization,3,0.8401966810079902,0.8536109303838647,0.9740163325909429,0.9098474341192787
lemmatization,4,0.8309772587584512,0.8515369522563767,0.9644444444444444,0.9044807224730809
lemmatization,5,0.8272894898586355,0.8406557377049181,0.9712121212121212,0.9012302284710019
lemmatization and stopword removal,1,0.8421375921375921,0.8632760898282695,0.9631540162122328,0.9104841518634623
lemmatization and stopword removal,2,0.8200245700245701,0.837696335078534,0.9660377358490566,0.8973010865755345
lemmatization and stopword removal,3,0.8377381684081131,0.8518518518518519,0.9732739420935412,0.9085239085239085
lemmatization and stopword removal,4,0.8291333743085433,0.8489583333333334,0.965925925925926,0.9036729036729036
lemmatization and stopword removal,5,0.826060233558697,0.84,0.9704545454545455,0.9005272407732864
